,Song,Artist,artist_trunc,search_term,lyrics_raw
176,Seasons in the Sun,Terry Jacks,Terry Jacks,Seasons in the Sun Terry Jacks,error
177,I'll Be There,The Jackson 5,The Jackson,I'll Be There The Jackson,error
178,Crimson and Clover,Tommy James and the Shondells,Tommy James,Crimson and Clover Tommy James,error
179,Delilah,Tom Jones,Tom Jones,Delilah Tom Jones,error
180,Great Balls of Fire,Jerry Lee Lewis,Jerry Lee,Great Balls of Fire Jerry Lee,error
181,Lambada,Kaoma,Kaoma,Lambada Kaoma,error
182,Like a Prayer,Madonna,Madonna,Like a Prayer Madonna,error
183,Maria,Ricky Martin,Ricky Martin,Maria Ricky Martin,error
184,Let's All Chant,Michael Zager Band,Michael Zager,Let's All Chant Michael Zager,error
185,March from the River Kwai,Mitch Miller,Mitch Miller,March from the River Kwai Mitch Miller,error
186,Can't Get You Out of My Head,Kylie Minogue,Kylie Minogue,Can't Get You Out of My Head Kylie Minogue,error
187,Daydream Believer,The Monkees,The Monkees,Daydream Believer The Monkees,error
188,Pass the Dutchie,Musical Youth,Musical Youth,Pass the Dutchie Musical Youth,error
189,I Think I Love You,The Partridge Family,The Partridge,I Think I Love You The Partridge,error
190,Are You Lonesome Tonight?,Elvis Presley,Elvis Presley,Are You Lonesome Tonight? Elvis Presley,error
191,Surrender,Elvis Presley,Elvis Presley,Surrender Elvis Presley,error
192,Harper Valley PTA,Jeannie C. Riley,Jeannie C.,Harper Valley PTA Jeannie C.,error
193,Il Silenzio,Nini Rosso,Nini Rosso,Il Silenzio Nini Rosso,error
194,The Chipmunk Song (Christmas Don't Be Late),David Seville and the Chipmunks,David Seville,The Chipmunk Song (Christmas Don't Be Late) David Seville,error
195,Ballad of the Green Berets,Staff Sergeant Barry Sadler,Staff Sergeant,Ballad of the Green Berets Staff Sergeant,error
196,I Can Help,Billy Swan,Billy Swan,I Can Help Billy Swan,error
197,Joy to the World,Three Dog Night,Three Dog,Joy to the World Three Dog,error
198,Telstar,The Tornados,The Tornados,Telstar The Tornados,error
199,Do You Really Want to Hurt Me,Culture Club,Culture Club,Do You Really Want to Hurt Me Culture Club,error
200,"Sugar, Sugar",The Archies,The Archies,"Sugar, Sugar The Archies",error
201,Save Your Kisses for Me,Brotherhood of Man,Brotherhood of,Save Your Kisses for Me Brotherhood of,error
202,Gangsta's Paradise,Coolio featuring L.V.,Coolio featuring,Gangsta's Paradise Coolio featuring,error
203,Jingle Bells,Bing Crosby and The Andrews Sisters,Bing Crosby,Jingle Bells Bing Crosby,error
204,The Prisoner's Song,Vernon Dalhart,Vernon Dalhart,The Prisoner's Song Vernon Dalhart,error
205,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn featuring Tony Orlando,Dawn featuring,Tie a Yellow Ribbon Round the Ole Oak Tree Dawn featuring,error
206,Cracklin' Rosie,Neil Diamond,Neil Diamond,Cracklin' Rosie Neil Diamond,error
207,I Want You Back,The Jackson 5,The Jackson,I Want You Back The Jackson,error
208,Together Again,Janet Jackson,Janet Jackson,Together Again Janet Jackson,error
209,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,Jerry Lee,Whole Lotta Shakin' Goin' On Jerry Lee,error
210,Vogue,Madonna,Madonna,Vogue Madonna,error
211,Careless Whisper,George Michael,George Michael,Careless Whisper George Michael,error
212,I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers,The New,I'd Like to Teach the World to Sing (In Perfect Harmony) The New,error
213,Knock Three Times,Tony Orlando and Dawn,Tony Orlando,Knock Three Times Tony Orlando,error
214,Don't Be Cruel,Elvis Presley,Elvis Presley,Don't Be Cruel Elvis Presley,error
215,The Little Drummer Boy,Harry Simeone Chorale,Harry Simeone,The Little Drummer Boy Harry Simeone,error
216,Bridge over Troubled Water,Simon & Garfunkel,Simon &,Bridge over Troubled Water Simon &,error
217,It's a Heartache,Bonnie Tyler,Bonnie Tyler,It's a Heartache Bonnie Tyler,error
218,Total Eclipse of the Heart,Bonnie Tyler,Bonnie Tyler,Total Eclipse of the Heart Bonnie Tyler,error
219,I Will Survive,Gloria Gaynor,Gloria Gaynor,I Will Survive Gloria Gaynor,error
220,Wind of Change,Scorpions,Scorpions,Wind of Change Scorpions,error
221,Sukiyaki,Kyu Sakamoto,Kyu Sakamoto,Sukiyaki Kyu Sakamoto,error
222,Da Da Da,Trio,Trio,Da Da Da Trio,error
223,Rudolph the Red-Nosed Reindeer,Gene Autry,Gene Autry,Rudolph the Red-Nosed Reindeer Gene Autry,error
224,I Want to Hold Your Hand,The Beatles,The Beatles,I Want to Hold Your Hand The Beatles,error
225,Time to Say Goodbye,Andrea Bocelli and Sarah Brightman,Andrea Bocelli,Time to Say Goodbye Andrea Bocelli,error
226,Y.M.C.A.,Village People,Village People,Y.M.C.A. Village People,error
227,Do They Know It's Christmas?,Band Aid,Band Aid,Do They Know It's Christmas? Band Aid,error
228,Believe,Cher,Cher,Believe Cher,error
229,Kung Fu Fighting,Carl Douglas,Carl Douglas,Kung Fu Fighting Carl Douglas,error
230,Rock Your Baby,George McCrae,George McCrae,Rock Your Baby George McCrae,error
231,Paper Doll,Mills Brothers,Mills Brothers,Paper Doll Mills Brothers,error
232,The Last Farewell,Roger Whittaker,Roger Whittaker,The Last Farewell Roger Whittaker,error
233,In the Summertime,Mungo Jerry,Mungo Jerry,In the Summertime Mungo Jerry,error
234,Wabash Cannonball,Roy Acuff,Roy Acuff,Wabash Cannonball Roy Acuff,error
235,Diana,Paul Anka,Paul Anka,Diana Paul Anka,error
236,Un-Break My Heart,Toni Braxton,Toni Braxton,Un-Break My Heart Toni Braxton,error
237,Macarena,Los del Rio,Los del,Macarena Los del,error
238,Chirpy Chirpy Cheep Cheep,Middle of the Road,Middle of,Chirpy Chirpy Cheep Cheep Middle of,error
239,I'm a Believer,The Monkees,The Monkees,I'm a Believer The Monkees,error
240,Mundian To Bach Ke,Panjabi MC,Panjabi MC,Mundian To Bach Ke Panjabi MC,error
241,Tennessee Waltz,Patti Page,Patti Page,Tennessee Waltz Patti Page,error
242,Earth Angel,The Penguins,The Penguins,Earth Angel The Penguins,error
243,Hound Dog,Elvis Presley,Elvis Presley,Hound Dog Elvis Presley,error
244,A Whiter Shade of Pale,Procol Harum,Procol Harum,A Whiter Shade of Pale Procol Harum,error
245,...Baby One More Time,Britney Spears,Britney Spears,...Baby One More Time Britney Spears,error
246,U Can't Touch This,MC Hammer,MC Hammer,U Can't Touch This MC Hammer,error
247,Dilemma,Nelly and Kelly Rowland,Nelly and,Dilemma Nelly and,error
248,Genie in a Bottle,Christina Aguilera,Christina Aguilera,Genie in a Bottle Christina Aguilera,error
249,Can't Buy Me Love,The Beatles,The Beatles,Can't Buy Me Love The Beatles,error
250,Hard to Handle,The Black Crowes,The Black,Hard to Handle The Black,error
251,Le Freak,Chic,Chic,Le Freak Chic,error
252,Butterfly,Danyel Gerard,Danyel Gerard,Butterfly Danyel Gerard,error
253,The Ketchup Song (Asereje),Las Ketchup,Las Ketchup,The Ketchup Song (Asereje) Las Ketchup,error
254,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) Scott McKenzie,error
255,Uninvited,Alanis Morissette,Alanis Morissette,Uninvited Alanis Morissette,error
256,Another One Bites the Dust,Queen,Queen,Another One Bites the Dust Queen,error
257,The Wedding,Julie Rogers,Julie Rogers,The Wedding Julie Rogers,error
258,Amazing Grace,Royal Scots Dragoon Guards,Royal Scots,Amazing Grace Royal Scots,error
259,"Oh, Pretty Woman",Roy Orbison,Roy Orbison,"Oh, Pretty Woman Roy Orbison",error
260,Wannabe,Spice Girls,Spice Girls,Wannabe Spice Girls,error
261,Tell Laura I Love Her,Ricky Valance,Ricky Valance,Tell Laura I Love Her Ricky Valance,error
262,Eye of the Tiger,Survivor,Survivor,Eye of the Tiger Survivor,error
263,Mull of Kintyre,Wings,Wings,Mull of Kintyre Wings,error
264,"Whenever, Wherever",Shakira,Shakira,"Whenever, Wherever Shakira",error
265,The House of the Rising Sun,The Animals,The Animals,The House of the Rising Sun The Animals,error
266,Barbie Girl,Aqua,Aqua,Barbie Girl Aqua,error
267,Hey Jude,The Beatles,The Beatles,Hey Jude The Beatles,error
268,19,Paul Hardcastle,Paul Hardcastle,19 Paul Hardcastle,error
269,Those Were the Days,Mary Hopkin,Mary Hopkin,Those Were the Days Mary Hopkin,error
270,Move On Up a Little Higher,Mahalia Jackson,Mahalia Jackson,Move On Up a Little Higher Mahalia Jackson,error
271,Livin' La Vida Loca,Ricky Martin,Ricky Martin,Livin' La Vida Loca Ricky Martin,error
272,"You're My Heart, You're My Soul",Modern Talking,Modern Talking,"You're My Heart, You're My Soul Modern Talking",error
273,Smells Like Teen Spirit,Nirvana,Nirvana,Smells Like Teen Spirit Nirvana,error
274,Dragostea Din Tei,O-Zone,O-Zone,Dragostea Din Tei O-Zone,error
275,Heimweh,Freddy Quinn,Freddy Quinn,Heimweh Freddy Quinn,error
276,Venus,Shocking Blue,Shocking Blue,Venus Shocking Blue,error
277,I Kissed a Girl,Katy Perry,Katy Perry,I Kissed a Girl Katy Perry,error
278,Hot n Cold,Katy Perry,Katy Perry,Hot n Cold Katy Perry,error
279,Roar,Katy Perry,Katy Perry,Roar Katy Perry,error
280,Love Yourself,Justin Bieber,Justin Bieber,Love Yourself Justin Bieber,error
281,Closer,The Chainsmokers feat. Halsey,The Chainsmokers,Closer The Chainsmokers,error
282,Love Story,Taylor Swift,Taylor Swift,Love Story Taylor Swift,error
283,Girlfriend,Avril Lavigne,Avril Lavigne,Girlfriend Avril Lavigne,error
284,Umbrella,Rihanna featuring Jay-Z,Rihanna featuring,Umbrella Rihanna featuring,error
285,SexyBack,Justin Timberlake,Justin Timberlake,SexyBack Justin Timberlake,error
286,Single Ladies (Put a Ring on It),Beyonce,Beyonce,Single Ladies (Put a Ring on It) Beyonce,error
287,Wake Me Up,Avicii featuring Aloe Blacc,Avicii featuring,Wake Me Up Avicii featuring,error
288,Cheap Thrills,Sia feat. Sean Paul,Sia feat.,Cheap Thrills Sia feat.,error
289,California Gurls,Katy Perry featuring Snoop Dogg,Katy Perry,California Gurls Katy Perry,error
290,All About That Bass,Meghan Trainor,Meghan Trainor,All About That Bass Meghan Trainor,error
291,We Found Love,Rihanna featuring Calvin Harris,Rihanna featuring,We Found Love Rihanna featuring,error
292,Firework,Katy Perry,Katy Perry,Firework Katy Perry,error
293,Lose Yourself,Eminem,Eminem,Lose Yourself Eminem,error
294,Love Me like You Do,Ellie Goulding,Ellie Goulding,Love Me like You Do Ellie Goulding,error
295,One Dance,Drake featuring WizKid and Kyla,Drake featuring,One Dance Drake featuring,error
296,Grenade,Bruno Mars,Bruno Mars,Grenade Bruno Mars,error
297,Bad Romance,Lady Gaga,Lady Gaga,Bad Romance Lady Gaga,error
298,Hello,Adele,Adele,Hello Adele,error
299,All of Me,John Legend,John Legend,All of Me John Legend,error
300,I'm Yours,Jason Mraz,Jason Mraz,I'm Yours Jason Mraz,error
301,Viva La Vida,Coldplay,Coldplay,Viva La Vida Coldplay,error
302,Right Round,Flo Rida featuring Kesha,Flo Rida,Right Round Flo Rida,error
303,Low,Flo Rida featuring T-Pain,Flo Rida,Low Flo Rida,error
