,Song,Artist,artist_trunc,search_term,lyrics_raw
126,You're in Love,Wilson Phillips,Wilson Phillips,You're in Love Wilson Phillips,error
127,Every Heartbeat,Amy Grant,Amy Grant,Every Heartbeat Amy Grant,error
128,Sensitivity,Ralph Tresvant,Ralph Tresvant,Sensitivity Ralph Tresvant,error
129,Touch Me (All Night Long),Cathy Dennis,Cathy Dennis,Touch Me (All Night Long) Cathy Dennis,error
130,I've Been Thinking About You,Londonbeat,Londonbeat,I've Been Thinking About You Londonbeat,error
131,Do Anything,Natural Selection,Natural Selection,Do Anything Natural Selection,error
132,Losing My Religion,R.E.M.,R.E.M.,Losing My Religion R.E.M.,error
133,Coming Out of the Dark,Gloria Estefan,Gloria Estefan,Coming Out of the Dark Gloria Estefan,error
134,It Ain't Over 'til It's Over,Lenny Kravitz,Lenny Kravitz,It Ain't Over 'til It's Over Lenny Kravitz,error
135,Here We Go,C+C Music Factory,C+C Music,Here We Go C+C Music,error
136,Where Does My Heart Beat Now,Celine Dion,Celine Dion,Where Does My Heart Beat Now Celine Dion,error
137,Summertime,DJ Jazzy Jeff & The Fresh Prince,DJ Jazzy,Summertime DJ Jazzy,error
138,Wind of Change,Scorpions,Scorpions,Wind of Change Scorpions,error
139,P.A.S.S.I.O.N.,Rythm Syndicate,Rythm Syndicate,P.A.S.S.I.O.N. Rythm Syndicate,error
140,The Promise of a New Day,Paula Abdul,Paula Abdul,The Promise of a New Day Paula Abdul,error
141,I'm Your Baby Tonight,Whitney Houston,Whitney Houston,I'm Your Baby Tonight Whitney Houston,error
142,Love of a Lifetime,FireHouse,FireHouse,Love of a Lifetime FireHouse,error
143,Fading Like a Flower (Every Time You Leave),Roxette,Roxette,Fading Like a Flower (Every Time You Leave) Roxette,error
144,This House,Tracie Spencer,Tracie Spencer,This House Tracie Spencer,error
145,Hole Hearted,Extreme,Extreme,Hole Hearted Extreme,error
146,Power of Love/Love Power,Luther Vandross,Luther Vandross,Power of Love/Love Power Luther Vandross,error
147,Impulsive,Wilson Phillips,Wilson Phillips,Impulsive Wilson Phillips,error
148,Love Is a Wonderful Thing,Michael Bolton,Michael Bolton,Love Is a Wonderful Thing Michael Bolton,error
149,Rhythm of My Heart,Rod Stewart,Rod Stewart,Rhythm of My Heart Rod Stewart,error
150,Things That Make You Go Hmmm...,C+C Music Factory,C+C Music,Things That Make You Go Hmmm... C+C Music,error
151,I Touch Myself,Divinyls,Divinyls,I Touch Myself Divinyls,error
152,Tom's Diner,DNA featuring Suzanne Vega,DNA featuring,Tom's Diner DNA featuring,error
153,Iesha,Another Bad Creation,Another Bad,Iesha Another Bad,error
154,Something to Talk About,Bonnie Raitt,Bonnie Raitt,Something to Talk About Bonnie Raitt,error
155,After the Rain,Nelson,Nelson,After the Rain Nelson,error
156,Play That Funky Music,Vanilla Ice,Vanilla Ice,Play That Funky Music Vanilla Ice,error
157,Temptation,Corina,Corina,Temptation Corina,error
